Kanji,Wiki_Count,Wiki_Ranking,Meanings,Grade,JLPT,Radical,Stroke_Count,Newspaper_Ranking,Novel_Frequency,In_Joyo
和,146,117,"['harmony', 'Japanese style', 'peace', 'soften', 'Japan']",3,2,30,8,194,0.0011235,Yes
寺,145,118,['Buddhist temple'],2,2,41,6,403,0.000556437,Yes
社,144,119,"['company', 'firm', 'office', 'association', 'shrine']",2,4,113,7,187,0.0011566,Yes
回,144,119,"['-times', 'round', 'game', 'revolve', 'counter for occurrences']",2,3,31,6,652,0.000344837,Yes
必,143,121,"['invariably', 'certain', 'inevitable']",4,2,61,5,273,0.000791871,Yes
期,141,122,"['period', 'time', 'date', 'term']",3,2,74,12,548,0.000423102,Yes
北,139,123,['north'],2,4,21,5,458,0.00050022,Yes
特,137,124,['special'],4,3,93,10,353,0.00062697,Yes
体,137,124,"['body', 'substance', 'object', 'reality', 'counter for images']",2,3,9,7,116,0.001640523,Yes
別,137,124,"['separate', 'branch off', 'diverge', 'fork', 'another', 'extra', 'specially']",4,3,18,7,190,0.001147723,Yes
結,135,127,"['tie', 'bind', 'contract', 'join', 'organize', 'do up hair', 'fasten']",4,2,120,12,199,0.001091118,Yes
位,133,128,"['rank', 'grade', 'throne', 'crown', 'about', 'some']",4,2,9,7,364,0.00061582,Yes
提,132,129,"['propose', 'take along', 'carry in hand']",5,1,64,12,888,0.000223973,Yes
続,132,129,"['continue', 'series', 'sequel']",4,2,120,13,454,0.000502474,Yes
組,132,129,"['association', 'braid', 'plait', 'construct', 'assemble', 'unite', 'cooperate', 'grapple']",2,2,120,11,516,0.0004502,Yes
木,132,129,"['tree', 'wood']",1,4,75,4,118,0.001631762,Yes
付,131,133,"['adhere', 'attach', 'refer to', 'append']",4,2,9,5,231,0.000984551,Yes
問,131,133,"['question', 'ask', 'problem']",3,3,30,11,176,0.001196791,Yes
活,130,135,"['lively', 'resuscitation', 'being helped', 'living']",2,2,85,9,181,0.001170858,Yes
言,129,136,"['say', 'word']",2,4,149,7,25,0.00478631,Yes
番,129,136,"['turn', 'number in a series']",2,2,102,12,324,0.000698747,Yes
家,128,138,"['house', 'home', 'family', 'professional', 'expert', 'performer']",2,3,40,10,34,0.00396194,Yes
入,127,139,"['enter', 'insert']",1,4,11,2,45,0.00328563,Yes
指,127,139,"['finger', 'point to', 'indicate', 'put into', 'play (chess)', 'measure (ruler)']",3,2,64,9,389,0.000577921,Yes
東,127,139,['east'],2,4,75,8,236,0.000966776,Yes
数,127,139,"['number', 'strength', 'fate', 'law', 'figures']",2,2,66,13,225,0.001009609,Yes
三,126,143,['three'],1,4,1,3,30,0.004226357,Yes
公,125,144,"['public', 'prince', 'official', 'governmental']",2,2,12,4,295,0.00076252,Yes
号,125,144,"['nickname', 'number', 'item', 'title', 'pseudonym', 'name', 'call']",3,2,30,5,483,0.000484156,Yes
法,125,144,"['method', 'law', 'rule', 'principle', 'model', 'system']",4,2,85,8,180,0.001172723,Yes
筆,125,144,"['writing brush', 'writing', 'painting brush', 'handwriting']",3,2,118,12,629,0.000356842,Yes
制,124,148,"['system', 'law', 'rule']",5,2,18,8,405,0.000554728,Yes
確,124,148,"['assurance', 'firm', 'tight', 'hard', 'solid', 'confirm', 'clear', 'evident']",5,2,112,15,560,0.000412923,Yes
機,124,148,"['loom', 'mechanism', 'machine', 'airplane', 'opportunity', 'potency', 'efficacy', 'occasion']",4,2,75,16,264,0.000824428,Yes
軍,124,148,"['army', 'force', 'troops', 'war', 'battle']",4,2,159,9,338,0.000667822,Yes
歌,123,152,"['song', 'sing']",2,3,76,14,274,0.000790512,Yes
